label,email
spam,❗️❗️특급 할인❗️❗️ 오늘만 90% 할인 쿠폰 증정중
ham,회의록 첨부파일 확인 부탁드립니다
spam,축하합니다! 당신은 행운의 100번째 고객입니다! 아이폰15 무료증정!
ham,이번 달 업무 일정 공유드립니다
spam,⭐️특별한 기회⭐️ 럭셔리 명품시계 초특가 세일!!
ham,금주 금요일까지 보고서 제출 바랍니다
spam,▶️ 놓치면 후회할 특가 이벤트! 클릭 즉시 할인쿠폰 지급!
ham,워크샵 참석 여부 회신 부탁드립니다
spam,💰 빚 고민 끝! 신용불량자 가능! 최저금리 대출상담
ham,다음 주 화상미팅 일정 조율 부탁드립니다
spam,🎁 가입즉시 10만원 지급! 온라인 카지노 신규가입 이벤트
ham,프로젝트 진행상황 업데이트입니다
spam,‼️ 오늘 마감! 100% 당첨 이벤트! 응모하기!
ham,요청하신 견적서 발송해드립니다
spam,📱 아이폰 15 PRO 파격특가! 선착순 100명 한정!
ham,내일 외부미팅 장소 안내드립니다
spam,💊 건강검진 무료쿠폰 이벤트! 오늘만 특별 제공!
ham,주간 회의 일정이 변경되었습니다
spam,✨ 적금보다 좋은 투자상품! 수익률 300% 보장!
ham,휴가 신청서 승인되었습니다
spam,⚡️ 급전대출! 30분내 입금! 신분증만 있으면 OK!
ham,자료 검토 완료했습니다
spam,🏆 VIP만을 위한 특별 이벤트! 지금 확인하세요!
ham,금일 서버 점검 일정 안내드립니다
spam,💯 정품 명품가방 초특가 세일! 오늘 단 하루!
ham,월간 실적 보고서입니다
spam,🎮 신규 게임 출시 기념 사전예약 특전 증정!
ham,팀 회식 일정 조율 부탁드립니다
spam,💸 비상금 대출! 무방문! 무서류! 즉시승인!
ham,업무 관련 문의드립니다
spam,🎯 마지막 찬스! 재고 정리 특가! 24시간 한정!
spam,[특급 할인] 오늘만 90% 할인 쿠폰 증정중입니다!! 지금 즉시 확인하세요!!
spam,축하드립니다! 당신은 행운의 100번째 고객입니다! 아이폰15 무료증정 이벤트에 당첨되셨습니다!
spam,[특별 할인] 럭셔리 명품시계 초특가 세일!! 정품 인증서 100% 보장
